city,date,rate,state
Hyderabad,01-12-2011,73.07,Telangana
Hyderabad,01-04-2012,73.08,Telangana
Hyderabad,24-05-2012,81.44,Telangana
Hyderabad,03-06-2012,78.11,Telangana
Hyderabad,29-06-2012,74.89,Telangana
Hyderabad,24-07-2012,75.8,Telangana
Hyderabad,25-07-2012,75.42,Telangana
Hyderabad,09-10-2012,74.68,Telangana
Hyderabad,27-10-2012,74.98,Telangana
Hyderabad,16-11-2012,73.73,Telangana
Hyderabad,18-01-2013,73.41,Telangana
Hyderabad,16-02-2013,75.37,Telangana
Hyderabad,02-03-2013,77.21,Telangana
Hyderabad,16-03-2013,74.59,Telangana
Hyderabad,02-04-2013,73.44,Telangana
Hyderabad,16-04-2013,72.14,Telangana
Hyderabad,01-05-2013,68.86,Telangana
Hyderabad,01-06-2013,69.84,Telangana
Hyderabad,16-06-2013,72.46,Telangana
Hyderabad,29-06-2013,74.9,Telangana
Hyderabad,15-07-2013,76.94,Telangana
Hyderabad,01-08-2013,77.85,Telangana
Hyderabad,01-09-2013,80.93,Telangana
Hyderabad,14-09-2013,83.07,Telangana
Hyderabad,01-10-2013,79.08,Telangana
Hyderabad,01-11-2013,77.57,Telangana
Hyderabad,21-12-2013,78.1,Telangana
Hyderabad,04-01-2014,79.11,Telangana
Hyderabad,01-03-2014,79.9,Telangana
Hyderabad,01-04-2014,78.92,Telangana
Hyderabad,16-04-2014,78,Telangana
Hyderabad,07-06-2014,78.11,Telangana
Hyderabad,25-06-2014,78.17,Telangana
Hyderabad,01-07-2014,80.41,Telangana
Hyderabad,01-08-2014,79.22,Telangana
Hyderabad,15-08-2014,76.84,Telangana
Hyderabad,31-08-2014,74.86,Telangana
Hyderabad,01-10-2014,74.15,Telangana
Hyderabad,15-10-2014,72.83,Telangana
Hyderabad,01-11-2014,70.19,Telangana
Hyderabad,01-12-2014,69.19,Telangana
Hyderabad,16-12-2014,67.02,Telangana
Hyderabad,17-01-2015,64.37,Telangana
Hyderabad,01-02-2015,66.38,Telangana
Hyderabad,04-02-2015,63.81,Telangana
Hyderabad,06-02-2015,63.73,Telangana
Hyderabad,16-02-2015,64.65,Telangana
Hyderabad,01-03-2015,68.23,Telangana
Hyderabad,02-04-2015,67.69,Telangana
Hyderabad,15-04-2015,66.79,Telangana
Hyderabad,01-05-2015,71.21,Telangana
Hyderabad,16-05-2015,74.73,Telangana
Hyderabad,16-06-2015,75.45,Telangana
Hyderabad,01-07-2015,75.11,Telangana
Hyderabad,15-07-2015,72.52,Telangana
Hyderabad,01-08-2015,69.82,Telangana
Hyderabad,15-08-2015,68.45,Telangana
Hyderabad,01-09-2015,66.29,Telangana
Hyderabad,01-11-2015,65.76,Telangana
Hyderabad,16-11-2015,66.07,Telangana
Hyderabad,01-12-2015,65.47,Telangana
Hyderabad,16-12-2015,64.92,Telangana
Hyderabad,01-01-2016,64.24,Telangana
Hyderabad,16-01-2016,63.9,Telangana
Hyderabad,01-02-2016,63.85,Telangana
Hyderabad,17-02-2016,63.84,Telangana
Hyderabad,09-03-2016,60.63,Telangana
Hyderabad,17-03-2016,63.9,Telangana
Hyderabad,05-04-2016,66.22,Telangana
Hyderabad,16-04-2016,65.18,Telangana
Hyderabad,01-05-2016,66.29,Telangana
Hyderabad,17-05-2016,67.17,Telangana
Hyderabad,01-06-2016,69.91,Telangana
Hyderabad,16-06-2016,69.96,Telangana
Hyderabad,01-07-2016,69.06,Telangana
Hyderabad,15-07-2016,66.67,Telangana
Hyderabad,01-08-2016,65.22,Telangana
Hyderabad,15-08-2016,64.16,Telangana
Hyderabad,01-09-2016,67.75,Telangana
Hyderabad,15-09-2016,68.56,Telangana
Hyderabad,01-10-2016,68.95,Telangana
Hyderabad,05-10-2016,69.07,Telangana
Hyderabad,15-10-2016,70.91,Telangana
Hyderabad,06-11-2016,72.25,Telangana
Hyderabad,16-11-2016,70.4,Telangana
Hyderabad,01-12-2016,70.58,Telangana
Hyderabad,17-12-2016,73.61,Telangana
Hyderabad,01-01-2017,75.37,Telangana
Hyderabad,16-01-2017,75.94,Telangana
Hyderabad,01-04-2017,70.81,Telangana
Hyderabad,16-04-2017,72.7,Telangana
Hyderabad,01-05-2017,72.72,Telangana
Hyderabad,16-05-2017,69.8,Telangana
Hyderabad,01-06-2017,71.49,Telangana
Hyderabad,16-06-2017,69.61,Telangana
Hyderabad,19-06-2017,68.73,Telangana
Hyderabad,20-06-2017,68.57,Telangana
Hyderabad,21-06-2017,68.62,Telangana
Hyderabad,22-06-2017,68.46,Telangana
Hyderabad,23-06-2017,68.23,Telangana
Hyderabad,26-06-2017,67.56,Telangana
Hyderabad,27-06-2017,67.42,Telangana
Hyderabad,28-06-2017,67.46,Telangana
Hyderabad,29-06-2017,67.42,Telangana
Hyderabad,30-06-2017,67.3,Telangana
Hyderabad,03-07-2017,67.11,Telangana
Hyderabad,04-07-2017,67.01,Telangana
Hyderabad,05-07-2017,67.06,Telangana
Hyderabad,06-07-2017,67.13,Telangana
Hyderabad,07-07-2017,67.27,Telangana
Hyderabad,10-07-2017,67.85,Telangana
Hyderabad,11-07-2017,67.91,Telangana
Hyderabad,12-07-2017,67.96,Telangana
Hyderabad,13-07-2017,67.89,Telangana
Hyderabad,14-07-2017,67.87,Telangana
Hyderabad,17-07-2017,68.22,Telangana
Hyderabad,18-07-2017,68.2,Telangana
Hyderabad,19-07-2017,68.28,Telangana
Hyderabad,20-07-2017,68.33,Telangana
Hyderabad,21-07-2017,68.28,Telangana
Hyderabad,24-07-2017,68.62,Telangana
Hyderabad,25-07-2017,68.67,Telangana
Hyderabad,26-07-2017,68.59,Telangana
Hyderabad,27-07-2017,68.61,Telangana
Hyderabad,28-07-2017,68.72,Telangana
Hyderabad,31-07-2017,69.32,Telangana
Hyderabad,01-08-2017,69.31,Telangana
Hyderabad,04-08-2017,69.87,Telangana
Hyderabad,07-08-2017,70.65,Telangana
Hyderabad,08-08-2017,70.66,Telangana
Hyderabad,09-08-2017,70.73,Telangana
Hyderabad,10-08-2017,70.89,Telangana
Hyderabad,11-08-2017,71.22,Telangana
Hyderabad,14-08-2017,72.02,Telangana
Hyderabad,16-08-2017,72.14,Telangana
Hyderabad,17-08-2017,72.25,Telangana
Hyderabad,18-08-2017,72.31,Telangana
Hyderabad,21-08-2017,72.64,Telangana
Hyderabad,22-08-2017,72.7,Telangana
Hyderabad,23-08-2017,72.85,Telangana
Hyderabad,24-08-2017,72.93,Telangana
Hyderabad,28-08-2017,73.23,Telangana
Hyderabad,29-08-2017,73.18,Telangana
Hyderabad,30-08-2017,73.26,Telangana
Hyderabad,31-08-2017,73.29,Telangana
Hyderabad,01-09-2017,73.34,Telangana
Hyderabad,04-09-2017,73.73,Telangana
Hyderabad,05-09-2017,73.81,Telangana
Hyderabad,07-09-2017,73.91,Telangana
Hyderabad,08-09-2017,74,Telangana
Hyderabad,11-09-2017,74.41,Telangana
Hyderabad,12-09-2017,74.52,Telangana
Hyderabad,13-09-2017,74.49,Telangana
Hyderabad,14-09-2017,74.54,Telangana
Hyderabad,15-09-2017,74.58,Telangana
Hyderabad,19-09-2017,74.64,Telangana
Hyderabad,20-09-2017,74.68,Telangana
Hyderabad,21-09-2017,74.64,Telangana
Hyderabad,22-09-2017,74.62,Telangana
Hyderabad,25-09-2017,74.53,Telangana
Hyderabad,26-09-2017,74.56,Telangana
Hyderabad,27-09-2017,74.53,Telangana
Hyderabad,28-09-2017,74.61,Telangana
Hyderabad,29-09-2017,74.72,Telangana
Hyderabad,03-10-2017,75.01,Telangana
Hyderabad,04-10-2017,72.4,Telangana
Hyderabad,05-10-2017,72.36,Telangana
Hyderabad,06-10-2017,72.38,Telangana
Hyderabad,09-10-2017,72.44,Telangana
Hyderabad,10-10-2017,72.48,Telangana
Hyderabad,11-10-2017,72.51,Telangana
Hyderabad,12-10-2017,72.44,Telangana
Hyderabad,13-10-2017,72.46,Telangana
Hyderabad,16-10-2017,72.27,Telangana
Hyderabad,17-10-2017,72.24,Telangana
Hyderabad,18-10-2017,72.28,Telangana
Hyderabad,24-10-2017,72.6,Telangana
Hyderabad,25-10-2017,72.66,Telangana
Hyderabad,26-10-2017,72.69,Telangana
Hyderabad,30-10-2017,73.1,Telangana
Hyderabad,31-10-2017,73.2,Telangana
Hyderabad,02-11-2017,73.32,Telangana
Hyderabad,03-11-2017,73.42,Telangana
Hyderabad,06-11-2017,73.87,Telangana
